N,sigma,epsilon,delta,method,rep,beta_true_00,beta_true_01,beta_true_11,beta_est_00,beta_est_01,beta_est_11
100,5.0,1.0338953100711687,1e-05,sbm_dpsgd,7,0.2,0.02,0.2,0.17671337723731995,0.017969980835914612,0.2191510945558548
100,5.0,1.0338953100711687,1e-05,gaussian,7,0.2,0.02,0.2,0.16856321692466736,0.017388585954904556,0.22388125956058502
100,5.0,1.0338953100711687,1e-05,edge_flip,7,0.2,0.02,0.2,0.15910600125789642,0.038857147097587585,0.20032240450382233
100,5.0,1.0338953100711687,1e-05,sbm_dpsgd,8,0.2,0.02,0.2,0.18870694935321808,0.015051795169711113,0.21452318131923676
100,5.0,1.0338953100711687,1e-05,gaussian,8,0.2,0.02,0.2,0.20329774916172028,0.0032739313319325447,0.18855737149715424
100,5.0,1.0338953100711687,1e-05,edge_flip,8,0.2,0.02,0.2,0.19860506057739258,0.040540147572755814,0.22264795005321503
100,5.0,1.0338953100711687,1e-05,sbm_dpsgd,9,0.2,0.02,0.2,0.19760148227214813,0.012690423056483269,0.22767740488052368
100,5.0,1.0338953100711687,1e-05,gaussian,9,0.2,0.02,0.2,0.2095707207918167,0.013966169208288193,0.21969178318977356
100,5.0,1.0338953100711687,1e-05,edge_flip,9,0.2,0.02,0.2,0.20890915393829346,0.005197083577513695,0.25356024503707886
100,5.0,1.0338953100711687,1e-05,sbm_dpsgd,10,0.2,0.02,0.2,0.22169525921344757,0.018227901309728622,0.24749787151813507
100,5.0,1.0338953100711687,1e-05,gaussian,10,0.2,0.02,0.2,0.20430339872837067,0.018811730667948723,0.21074341237545013
100,5.0,1.0338953100711687,1e-05,edge_flip,10,0.2,0.02,0.2,0.2295173555612564,0.05400417372584343,0.17627950012683868
100,5.0,1.0338953100711687,1e-05,sbm_dpsgd,11,0.2,0.02,0.2,0.19747307896614075,0.013853896409273148,0.20493187010288239
100,5.0,1.0338953100711687,1e-05,gaussian,11,0.2,0.02,0.2,0.1778547167778015,0.01108167227357626,0.19021253287792206
100,5.0,1.0338953100711687,1e-05,edge_flip,11,0.2,0.02,0.2,0.18314890563488007,0.01866110786795616,0.15738865733146667
100,5.0,1.0338953100711687,1e-05,sbm_dpsgd,12,0.2,0.02,0.2,0.2018764615058899,0.016498802229762077,0.18530552089214325
100,5.0,1.0338953100711687,1e-05,gaussian,12,0.2,0.02,0.2,0.19180791079998016,0.026972102001309395,0.14849182963371277
100,5.0,1.0338953100711687,1e-05,edge_flip,12,0.2,0.02,0.2,0.17971420288085938,0.04138164967298508,0.16769275069236755
100,5.0,1.0338953100711687,1e-05,sbm_dpsgd,13,0.2,0.02,0.2,0.18079020082950592,0.016881292685866356,0.2119135707616806
100,5.0,1.0338953100711687,1e-05,gaussian,13,0.2,0.02,0.2,0.19235838949680328,0.02722199447453022,0.20996622741222382
100,5.0,1.0338953100711687,1e-05,edge_flip,13,0.2,0.02,0.2,0.19688770174980164,0.021185612305998802,0.19688770174980164
100,5.0,1.0338953100711687,1e-05,sbm_dpsgd,14,0.2,0.02,0.2,0.22142702341079712,0.018159152939915657,0.21515095233917236
100,5.0,1.0338953100711687,1e-05,gaussian,14,0.2,0.02,0.2,0.21430350840091705,0.01217079907655716,0.23494550585746765
100,5.0,1.0338953100711687,1e-05,edge_flip,14,0.2,0.02,0.2,0.21577855944633484,0.0077215880155563354,0.23982146382331848
100,5.0,1.0338953100711687,1e-05,sbm_dpsgd,15,0.2,0.02,0.2,0.19286230206489563,0.020067332312464714,0.20761945843696594
100,5.0,1.0338953100711687,1e-05,gaussian,15,0.2,0.02,0.2,0.1680687963962555,0.020772766321897507,0.16490007936954498
100,5.0,1.0338953100711687,1e-05,edge_flip,15,0.2,0.02,0.2,0.15223659574985504,0.021185612305998802,0.18486624956130981
100,5.0,1.0338953100711687,1e-05,sbm_dpsgd,16,0.2,0.02,0.2,0.19441090524196625,0.017174046486616135,0.2329055219888687
100,5.0,1.0338953100711687,1e-05,gaussian,16,0.2,0.02,0.2,0.2043197602033615,0.027192112058401108,0.1907293200492859
100,5.0,1.0338953100711687,1e-05,edge_flip,16,0.2,0.02,0.2,0.23123469948768616,0.03044212982058525,0.23982146382331848
100,5.0,1.0338953100711687,1e-05,sbm_dpsgd,17,0.2,0.02,0.2,0.24288582801818848,0.018317537382245064,0.2323019802570343
100,5.0,1.0338953100711687,1e-05,gaussian,17,0.2,0.02,0.2,0.22335948050022125,0.01673060655593872,0.22848127782344818
100,5.0,1.0338953100711687,1e-05,edge_flip,17,0.2,0.02,0.2,0.20032240450382233,0.03296663612127304,0.24669085443019867
100,5.0,1.0338953100711687,1e-05,sbm_dpsgd,18,0.2,0.02,0.2,0.2069145143032074,0.015123299323022366,0.20359627902507782
