N,sigma,epsilon,rep,method,epsilon_gamma,epsilon_beta,epsilon_rho,delta,beta_true_00,beta_true_01,beta_true_11,beta_est_00,beta_est_01,beta_est_11
100,1.0,27.449962502007253,9,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.20000000298023224,0.018400000408291817,0.20979592204093933
100,1.0,27.449962502007253,9,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,0.5431122541136532,1e-05,0.2,0.02,0.2,0.2456333488225937,0.05480773746967316,0.19789302349090576
100,1.0,27.449962502007253,10,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.1951020359992981,0.01759999990463257,0.20000000298023224
100,1.0,27.449962502007253,10,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,0.5431122541136532,1e-05,0.2,0.02,0.2,0.19526703655719757,0.08348721265792847,0.16861717402935028
100,1.0,27.449962502007253,11,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.0,0.0,0.11252525448799133
100,1.0,27.449962502007253,11,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,0.5431122541136532,1e-05,0.2,0.02,0.2,0.17002663016319275,0.1038111075758934,0.20191766321659088
100,1.0,27.449962502007253,12,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.18448980152606964,0.018799999728798866,0.19755102694034576
100,1.0,27.449962502007253,12,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,0.5431122541136532,1e-05,0.2,0.02,0.2,0.19490818679332733,0.07885709404945374,0.19703960418701172
100,1.0,27.449962502007253,13,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.21877551078796387,0.02319999970495701,0.1893877536058426
100,1.0,27.449962502007253,13,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,0.5431122541136532,1e-05,0.2,0.02,0.2,0.22658289968967438,0.04747823625802994,0.21219681203365326
100,1.0,27.449962502007253,14,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.20816326141357422,0.02199999988079071,0.17877550423145294
100,1.0,27.449962502007253,14,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,0.5431122541136532,1e-05,0.2,0.02,0.2,0.21364296972751617,0.060007382184267044,0.21083353459835052
100,1.0,27.449962502007253,15,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.19183672964572906,0.01759999990463257,0.19428572058677673
100,1.0,27.449962502007253,15,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,0.5431122541136532,1e-05,0.2,0.02,0.2,0.18498268723487854,0.12130508571863174,0.16566208004951477
100,1.0,27.449962502007253,16,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.19265305995941162,0.021199999377131462,0.19346939027309418
100,1.0,27.449962502007253,16,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,0.5431122541136532,1e-05,0.2,0.02,0.2,0.16262216866016388,0.13221175968647003,0.18112897872924805
100,1.0,27.449962502007253,17,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.19755102694034576,0.024399999529123306,0.18857142329216003
100,1.0,27.449962502007253,17,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,0.5431122541136532,1e-05,0.2,0.02,0.2,0.1883469969034195,0.10956691950559616,0.18445579707622528
100,1.0,27.449962502007253,18,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.20326530933380127,0.019999999552965164,0.18775510787963867
100,1.0,27.449962502007253,18,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,0.5431122541136532,1e-05,0.2,0.02,0.2,0.20008769631385803,0.04968595132231712,0.21886403858661652
100,1.0,27.449962502007253,19,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.18448980152606964,0.015200000256299973,0.19265305995941162
100,1.0,27.449962502007253,19,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,0.5431122541136532,1e-05,0.2,0.02,0.2,0.2017716020345688,0.05389324203133583,0.18057045340538025
100,2.0,11.732851621374003,0,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.20326054096221924,0.01719225011765957,0.21795465052127838
100,2.0,11.732851621374003,0,sbm_dpsgd_all_noised,11.245049229064149,2.668102829441137,0.40561225411365304,1e-05,0.2,0.02,0.2,0.1835007667541504,0.09255490452051163,0.18805673718452454
100,2.0,11.732851621374003,1,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.20081152021884918,0.02639239840209484,0.19428080320358276
100,2.0,11.732851621374003,1,sbm_dpsgd_all_noised,11.245049229064149,2.668102829441137,0.40561225411365304,1e-05,0.2,0.02,0.2,0.14446713030338287,0.1326802521944046,0.19530589878559113
100,2.0,11.732851621374003,2,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.21305662393569946,0.016392236575484276,0.20244421064853668
100,2.0,11.732851621374003,2,sbm_dpsgd_all_noised,11.245049229064149,2.668102829441137,0.40561225411365304,1e-05,0.2,0.02,0.2,0.21380041539669037,0.03422638401389122,0.23220936954021454
100,2.0,11.732851621374003,3,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.19215191900730133,0.023201629519462585,0.22958749532699585
100,2.0,11.732851621374003,3,sbm_dpsgd_all_noised,11.245049229064149,2.668102829441137,0.40561225411365304,1e-05,0.2,0.02,0.2,0.2158787101507187,0.05906757712364197,0.21179816126823425
100,2.0,11.732851621374003,4,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.2057095617055893,0.018792275339365005,0.18938277661800385
100,2.0,11.732851621374003,4,sbm_dpsgd_all_noised,11.245049229064149,2.668102829441137,0.40561225411365304,1e-05,0.2,0.02,0.2,0.15367676317691803,0.12523868680000305,0.17654353380203247
100,2.0,11.732851621374003,5,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.1901991069316864,0.018792275339365005,0.19591349363327026
100,2.0,11.732851621374003,5,sbm_dpsgd_all_noised,11.245049229064149,2.668102829441137,0.40561225411365304,1e-05,0.2,0.02,0.2,0.18506324291229248,0.05508289858698845,0.2352975457906723
100,2.0,11.732851621374003,6,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.06948461383581161,0.1091603934764862,0.20640555024147034
100,2.0,11.732851621374003,6,sbm_dpsgd_all_noised,11.245049229064149,2.668102829441137,0.40561225411365304,1e-05,0.2,0.02,0.2,0.19647565484046936,0.07152984291315079,0.20116353034973145
100,2.0,11.732851621374003,7,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.19672982394695282,0.018792275339365005,0.21550564467906952
100,2.0,11.732851621374003,7,sbm_dpsgd_all_noised,11.245049229064149,2.668102829441137,0.40561225411365304,1e-05,0.2,0.02,0.2,0.19527587294578552,0.12687690556049347,0.16875362396240234
100,2.0,11.732851621374003,8,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.10625630617141724,0.0,0.0
100,2.0,11.732851621374003,8,sbm_dpsgd_all_noised,11.245049229064149,2.668102829441137,0.40561225411365304,1e-05,0.2,0.02,0.2,0.14824306964874268,0.12959563732147217,0.21340888738632202
100,2.0,11.732851621374003,9,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.19999518990516663,0.018392270430922508,0.20979125797748566
100,2.0,11.732851621374003,9,sbm_dpsgd_all_noised,11.245049229064149,2.668102829441137,0.40561225411365304,1e-05,0.2,0.02,0.2,0.24637942016124725,0.05822623893618584,0.20224754512310028
100,2.0,11.732851621374003,10,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.1950971484184265,0.017592256888747215,0.19999518990516663
100,2.0,11.732851621374003,10,sbm_dpsgd_all_noised,11.245049229064149,2.668102829441137,0.40561225411365304,1e-05,0.2,0.02,0.2,0.20573244988918304,0.06049094721674919,0.18989235162734985
100,2.0,11.732851621374003,11,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.0,0.0,0.1125190332531929
100,2.0,11.732851621374003,11,sbm_dpsgd_all_noised,11.245049229064149,2.668102829441137,0.40561225411365304,1e-05,0.2,0.02,0.2,0.17805825173854828,0.12286257743835449,0.18246830999851227
100,2.0,11.732851621374003,12,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.18448473513126373,0.018792275339365005,0.19754616916179657
