N,K,dc_sigma,normalize_weights,sigma,epsilon,rep,method,epsilon_gamma,epsilon_beta,epochs,epochs_gamma,epochs_beta,delta,mean_degree,degree_cv,max_degree,min_degree,weight_mean,weight_cv,lcc_size,lcc_frac,n_components,n_isolated,beta_nominal_00,beta_nominal_01,beta_nominal_11,beta_true_00,beta_true_01,beta_true_11,beta_est_00,beta_est_01,beta_est_11,nmi
500,2,0.25,True,10.0,1.9945956405993723,1,sbm_dpsgd_all_noised,1.9223734183771504,0.5431122541136532,11.0,6.0,5.0,1e-05,55.028,0.23285520002054938,120,26,1.0000000000000002,0.1932996563076368,500,1.0,1,0,0.2,0.02,0.2,0.19527710843373494,0.01968,0.20719678714859438,0.19733475148677826,0.03894823417067528,0.20144028961658478,0.7866605900414758
500,2,0.25,True,20.0,0.977390412892278,1,edge_flip_vem,,,449,,,1e-05,55.028,0.23285520002054938,120,26,1.0000000000000002,0.1932996563076368,500,1.0,1,0,0.2,0.02,0.2,0.19527710843373494,0.01968,0.20719678714859438,0.2864305078983307,0.18335388600826263,0.08552490919828415,0.001446245711930101
500,2,0.25,True,20.0,0.977390412892278,1,edge_flip_spectral,,,,,,1e-05,55.028,0.23285520002054938,120,26,1.0000000000000002,0.1932996563076368,500,1.0,1,0,0.2,0.02,0.2,0.19527710843373494,0.01968,0.20719678714859438,0.20733118057250977,0.014403440058231354,0.19199155271053314,0.7241916359845844
500,2,0.25,True,20.0,0.977390412892278,1,sbm_dpsgd_all_noised,0.9419985000802904,0.40561225411365304,11.0,6.0,5.0,1e-05,55.028,0.23285520002054938,120,26,1.0000000000000002,0.1932996563076368,500,1.0,1,0,0.2,0.02,0.2,0.19527710843373494,0.01968,0.20719678714859438,0.1664019227027893,0.10582949966192245,0.17197878658771515,0.14467908161686693
500,2,0.25,True,1.0,27.43885139089614,2,edge_flip_vem,,,189,,,1e-05,55.084,0.22137941438244527,96,26,0.9999999999999998,0.18688164048908365,500,1.0,1,0,0.2,0.02,0.2,0.20337349397590362,0.020464,0.19797590361445783,0.2033734917640686,0.02046399936079979,0.19797590374946594,1.0
500,2,0.25,True,1.0,27.43885139089614,2,edge_flip_spectral,,,,,,1e-05,55.084,0.22137941438244527,96,26,0.9999999999999998,0.18688164048908365,500,1.0,1,0,0.2,0.02,0.2,0.20337349397590362,0.020464,0.19797590361445783,0.19797590374946594,0.02046399936079979,0.2033734917640686,1.0
500,2,0.25,True,1.0,27.43885139089614,2,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,11.0,6.0,5.0,1e-05,55.084,0.22137941438244527,96,26,0.9999999999999998,0.18688164048908365,500,1.0,1,0,0.2,0.02,0.2,0.20337349397590362,0.020464,0.19797590361445783,0.21772794425487518,0.01232099812477827,0.2220391482114792,1.0
500,2,0.25,True,2.0,11.728684954707337,2,edge_flip_vem,,,152,,,1e-05,55.084,0.22137941438244527,96,26,0.9999999999999998,0.18688164048908365,500,1.0,1,0,0.2,0.02,0.2,0.20337349397590362,0.020464,0.19797590361445783,0.20336870849132538,0.020472271367907524,0.19797103106975555,1.0
500,2,0.25,True,2.0,11.728684954707337,2,edge_flip_spectral,,,,,,1e-05,55.084,0.22137941438244527,96,26,0.9999999999999998,0.18688164048908365,500,1.0,1,0,0.2,0.02,0.2,0.20337349397590362,0.020464,0.19797590361445783,0.19797103106975555,0.020472271367907524,0.20336870849132538,1.0
500,2,0.25,True,2.0,11.728684954707337,2,sbm_dpsgd_all_noised,11.245049229064149,2.668102829441137,11.0,6.0,5.0,1e-05,55.084,0.22137941438244527,96,26,0.9999999999999998,0.18688164048908365,500,1.0,1,0,0.2,0.02,0.2,0.20337349397590362,0.020464,0.19797590361445783,0.21719372272491455,0.012386055663228035,0.22259745001792908,1.0
500,2,0.25,True,5.0,4.1484505404580005,2,edge_flip_vem,,,154,,,1e-05,55.084,0.22137941438244527,96,26,0.9999999999999998,0.18688164048908365,500,1.0,1,0,0.2,0.02,0.2,0.20337349397590362,0.020464,0.19797590361445783,0.19723869860172272,0.021096372976899147,0.2032405287027359,1.0
500,2,0.25,True,5.0,4.1484505404580005,2,edge_flip_spectral,,,,,,1e-05,55.084,0.22137941438244527,96,26,0.9999999999999998,0.18688164048908365,500,1.0,1,0,0.2,0.02,0.2,0.20337349397590362,0.020464,0.19797590361445783,0.19723869860172272,0.021096372976899147,0.2032405287027359,1.0
500,2,0.25,True,5.0,4.1484505404580005,2,sbm_dpsgd_all_noised,3.992894984902444,1.0338953100711687,11.0,6.0,5.0,1e-05,55.084,0.22137941438244527,96,26,0.9999999999999998,0.18688164048908365,500,1.0,1,0,0.2,0.02,0.2,0.20337349397590362,0.020464,0.19797590361445783,0.2162478119134903,0.012666761875152588,0.22107510268688202,1.0
500,2,0.25,True,10.0,1.9945956405993723,2,edge_flip_vem,,,586,,,1e-05,55.084,0.22137941438244527,96,26,0.9999999999999998,0.18688164048908365,500,1.0,1,0,0.2,0.02,0.2,0.20337349397590362,0.020464,0.19797590361445783,0.21968793869018555,0.14550018310546875,0.09025400131940842,0.002992306576708555
500,2,0.25,True,10.0,1.9945956405993723,2,edge_flip_spectral,,,,,,1e-05,55.084,0.22137941438244527,96,26,0.9999999999999998,0.18688164048908365,500,1.0,1,0,0.2,0.02,0.2,0.20337349397590362,0.020464,0.19797590361445783,0.19887055456638336,0.01902604103088379,0.2021237313747406,1.0
