N,sigma,epsilon,rep,method,epsilon_gamma,epsilon_beta,epochs,epochs_gamma,epochs_beta,delta,beta_true_00,beta_true_01,beta_true_11,beta_est_00,beta_est_01,beta_est_11,nmi
1000,20.0,0.977390412892278,13,sbm_dpsgd_all_noised,0.9419985000802904,0.40561225411365304,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.2208355963230133,0.012292581610381603,0.21711769700050354,1.0
1000,1.0,27.43885139089614,14,edge_flip_vem,,,110,,,1e-05,0.2,0.02,0.2,0.1998717486858368,0.020023999735713005,0.19858917593955994,1.0
1000,1.0,27.43885139089614,14,edge_flip_spectral,,,,,,1e-05,0.2,0.02,0.2,0.19858917593955994,0.020023999735713005,0.1998717486858368,1.0
1000,1.0,27.43885139089614,14,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.15944363176822662,0.11555713415145874,0.16490650177001953,0.03784398998509341
1000,2.0,11.728684954707337,14,edge_flip_vem,,,124,,,1e-05,0.2,0.02,0.2,0.19987492263317108,0.020028263330459595,0.19859233498573303,1.0
1000,2.0,11.728684954707337,14,edge_flip_spectral,,,,,,1e-05,0.2,0.02,0.2,0.19859233498573303,0.020028263330459595,0.19987492263317108,1.0
1000,2.0,11.728684954707337,14,sbm_dpsgd_all_noised,11.245049229064149,2.668102829441137,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.19819535315036774,0.028252799063920975,0.20493130385875702,0.8900470959491056
1000,5.0,4.1484505404580005,14,edge_flip_vem,,,187,,,1e-05,0.2,0.02,0.2,0.1998310089111328,0.019490448758006096,0.19924360513687134,1.0
1000,5.0,4.1484505404580005,14,edge_flip_spectral,,,,,,1e-05,0.2,0.02,0.2,0.19924360513687134,0.019490448758006096,0.1998310089111328,1.0
1000,5.0,4.1484505404580005,14,sbm_dpsgd_all_noised,3.992894984902444,1.0338953100711687,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.21449168026447296,0.011999079957604408,0.22025133669376373,1.0
1000,10.0,1.9945956405993723,14,edge_flip_vem,,,471,,,1e-05,0.2,0.02,0.2,0.20053866505622864,0.019488921388983727,0.19924211502075195,1.0
1000,10.0,1.9945956405993723,14,edge_flip_spectral,,,,,,1e-05,0.2,0.02,0.2,0.19924211502075195,0.019488921388983727,0.20053866505622864,1.0
1000,10.0,1.9945956405993723,14,sbm_dpsgd_all_noised,1.9223734183771504,0.5431122541136532,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.21249251067638397,0.012926093302667141,0.21975694596767426,0.9895915066199539
1000,20.0,0.977390412892278,14,edge_flip_vem,,,362,,,1e-05,0.2,0.02,0.2,0.0,0.0,0.1096058264374733,0.0
1000,20.0,0.977390412892278,14,edge_flip_spectral,,,,,,1e-05,0.2,0.02,0.2,0.20076191425323486,0.01980501227080822,0.1984003782272339,0.954729771659256
1000,20.0,0.977390412892278,14,sbm_dpsgd_all_noised,0.9419985000802904,0.40561225411365304,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.2023196518421173,0.025841770693659782,0.20540477335453033,0.8591258874884578
1000,1.0,27.43885139089614,15,edge_flip_vem,,,271,,,1e-05,0.2,0.02,0.2,0.2002725452184677,0.020212000235915184,0.19921442866325378,1.0
1000,1.0,27.43885139089614,15,edge_flip_spectral,,,,,,1e-05,0.2,0.02,0.2,0.19921442866325378,0.020212000235915184,0.2002725452184677,1.0
1000,1.0,27.43885139089614,15,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.2189616560935974,0.011588351801037788,0.22089487314224243,1.0
1000,2.0,11.728684954707337,15,edge_flip_vem,,,239,,,1e-05,0.2,0.02,0.2,0.2002677172422409,0.020208265632390976,0.1992015689611435,1.0
1000,2.0,11.728684954707337,15,edge_flip_spectral,,,,,,1e-05,0.2,0.02,0.2,0.1992015689611435,0.020208265632390976,0.2002677172422409,1.0
1000,2.0,11.728684954707337,15,sbm_dpsgd_all_noised,11.245049229064149,2.668102829441137,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.21933656930923462,0.01163831353187561,0.2206682413816452,1.0
1000,5.0,4.1484505404580005,15,edge_flip_vem,,,211,,,1e-05,0.2,0.02,0.2,0.20012056827545166,0.020113827660679817,0.19908641278743744,1.0
1000,5.0,4.1484505404580005,15,edge_flip_spectral,,,,,,1e-05,0.2,0.02,0.2,0.19908641278743744,0.020113827660679817,0.20012056827545166,1.0
1000,5.0,4.1484505404580005,15,sbm_dpsgd_all_noised,3.992894984902444,1.0338953100711687,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.21990007162094116,0.01180930808186531,0.2207743227481842,1.0
1000,10.0,1.9945956405993723,15,edge_flip_vem,,,431,,,1e-05,0.2,0.02,0.2,0.1991683393716812,0.021014319732785225,0.19966375827789307,1.0
1000,10.0,1.9945956405993723,15,edge_flip_spectral,,,,,,1e-05,0.2,0.02,0.2,0.1991683393716812,0.021014319732785225,0.19966375827789307,1.0
1000,10.0,1.9945956405993723,15,sbm_dpsgd_all_noised,1.9223734183771504,0.5431122541136532,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.21890512108802795,0.011355862021446228,0.22154644131660461,1.0
1000,20.0,0.977390412892278,15,edge_flip_vem,,,699,,,1e-05,0.2,0.02,0.2,0.19753040373325348,0.13826660811901093,0.08364954590797424,0.0027683746891399904
1000,20.0,0.977390412892278,15,edge_flip_spectral,,,,,,1e-05,0.2,0.02,0.2,0.2015436589717865,0.02108236402273178,0.19673241674900055,0.9470849196551532
1000,20.0,0.977390412892278,15,sbm_dpsgd_all_noised,0.9419985000802904,0.40561225411365304,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.20891167223453522,0.015554076060652733,0.2198311984539032,0.9631294405918136
1000,1.0,27.43885139089614,16,edge_flip_vem,,,312,,,1e-05,0.2,0.02,0.2,0.19872544705867767,0.02059599943459034,0.20017635822296143,1.0
1000,1.0,27.43885139089614,16,edge_flip_spectral,,,,,,1e-05,0.2,0.02,0.2,0.19872544705867767,0.02059599943459034,0.20017635822296143,1.0
1000,1.0,27.43885139089614,16,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.21625523269176483,0.01393868587911129,0.21322974562644958,1.0
1000,2.0,11.728684954707337,16,edge_flip_vem,,,309,,,1e-05,0.2,0.02,0.2,0.19872860610485077,0.02059227228164673,0.20017151534557343,1.0
1000,2.0,11.728684954707337,16,edge_flip_spectral,,,,,,1e-05,0.2,0.02,0.2,0.19872860610485077,0.02059227228164673,0.20017151534557343,1.0
1000,2.0,11.728684954707337,16,sbm_dpsgd_all_noised,11.245049229064149,2.668102829441137,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.21727769076824188,0.012268862687051296,0.21650806069374084,1.0
1000,5.0,4.1484505404580005,16,edge_flip_vem,,,520,,,1e-05,0.2,0.02,0.2,0.1995248943567276,0.020766105502843857,0.20011229813098907,1.0
1000,5.0,4.1484505404580005,16,edge_flip_spectral,,,,,,1e-05,0.2,0.02,0.2,0.1995248943567276,0.020766105502843857,0.20011229813098907,1.0
1000,5.0,4.1484505404580005,16,sbm_dpsgd_all_noised,3.992894984902444,1.0338953100711687,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.2187339812517166,0.011267273686826229,0.21820443868637085,1.0
1000,10.0,1.9945956405993723,16,edge_flip_vem,,,443,,,1e-05,0.2,0.02,0.2,0.10978101938962936,0.0,0.0,0.0
1000,10.0,1.9945956405993723,16,edge_flip_spectral,,,,,,1e-05,0.2,0.02,0.2,0.19695471227169037,0.020409420132637024,0.20170873403549194,1.0
1000,10.0,1.9945956405993723,16,sbm_dpsgd_all_noised,1.9223734183771504,0.5431122541136532,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.21773548424243927,0.011718861758708954,0.2178623080253601,0.9895915066199539
1000,20.0,0.977390412892278,16,edge_flip_vem,,,429,,,1e-05,0.2,0.02,0.2,0.0351862907409668,0.09465532749891281,0.14404119551181793,0.0001659527728035241
1000,20.0,0.977390412892278,16,edge_flip_spectral,,,,,,1e-05,0.2,0.02,0.2,0.19715483486652374,0.01973305083811283,0.20392678678035736,0.9631294405918138
1000,20.0,0.977390412892278,16,sbm_dpsgd_all_noised,0.9419985000802904,0.40561225411365304,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.1904875785112381,0.052137985825538635,0.18914274871349335,0.680726983614512
1000,1.0,27.43885139089614,17,edge_flip_vem,,,270,,,1e-05,0.2,0.02,0.2,0.20051302015781403,0.019571999087929726,0.1999519020318985,1.0
1000,1.0,27.43885139089614,17,edge_flip_spectral,,,,,,1e-05,0.2,0.02,0.2,0.20051302015781403,0.019571999087929726,0.1999519020318985,1.0
1000,1.0,27.43885139089614,17,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.21930770576000214,0.010557811707258224,0.22026503086090088,1.0
1000,2.0,11.728684954707337,17,edge_flip_vem,,,135,,,1e-05,0.2,0.02,0.2,0.20050819218158722,0.01957225613296032,0.19996309280395508,1.0
1000,2.0,11.728684954707337,17,edge_flip_spectral,,,,,,1e-05,0.2,0.02,0.2,0.20050819218158722,0.01957225613296032,0.19996309280395508,1.0
1000,2.0,11.728684954707337,17,sbm_dpsgd_all_noised,11.245049229064149,2.668102829441137,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.2198648303747177,0.01057808380573988,0.2201719731092453,1.0
1000,5.0,4.1484505404580005,17,edge_flip_vem,,,297,,,1e-05,0.2,0.02,0.2,0.20075760781764984,0.019593657925724983,0.20081551373004913,1.0
1000,5.0,4.1484505404580005,17,edge_flip_spectral,,,,,,1e-05,0.2,0.02,0.2,0.20081551373004913,0.019593657925724983,0.20075760781764984,1.0
1000,5.0,4.1484505404580005,17,sbm_dpsgd_all_noised,3.992894984902444,1.0338953100711687,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.21952593326568604,0.010683541186153889,0.22072528302669525,1.0
1000,10.0,1.9945956405993723,17,edge_flip_vem,,,726,,,1e-05,0.2,0.02,0.2,0.11056554317474365,0.0,0.0,0.0
1000,10.0,1.9945956405993723,17,edge_flip_spectral,,,,,,1e-05,0.2,0.02,0.2,0.20105518400669098,0.020309479907155037,0.2009497731924057,1.0
1000,10.0,1.9945956405993723,17,sbm_dpsgd_all_noised,1.9223734183771504,0.5431122541136532,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.2199251800775528,0.010554254986345768,0.22115792334079742,1.0
1000,20.0,0.977390412892278,17,edge_flip_vem,,,541,,,1e-05,0.2,0.02,0.2,0.38966861367225647,0.19165518879890442,0.10644102841615677,0.0003285944016115498
1000,20.0,0.977390412892278,17,edge_flip_spectral,,,,,,1e-05,0.2,0.02,0.2,0.20399460196495056,0.01809266209602356,0.1969917118549347,0.9399301580898987
1000,20.0,0.977390412892278,17,sbm_dpsgd_all_noised,0.9419985000802904,0.40561225411365304,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.21276678144931793,0.014513114467263222,0.21602022647857666,0.9631294405918135
1000,1.0,27.43885139089614,18,edge_flip_vem,,,142,,,1e-05,0.2,0.02,0.2,0.20058517158031464,0.020315999165177345,0.20052103698253632,1.0
1000,1.0,27.43885139089614,18,edge_flip_spectral,,,,,,1e-05,0.2,0.02,0.2,0.20052103698253632,0.020315999165177345,0.20058517158031464,1.0
1000,1.0,27.43885139089614,18,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.1600734293460846,0.1218506321310997,0.1618475317955017,0.005096276424368809
1000,2.0,11.728684954707337,18,edge_flip_vem,,,297,,,1e-05,0.2,0.02,0.2,0.2005963772535324,0.020316267386078835,0.2005242258310318,1.0
