regime,N,p,q,sigma,epsilon,rep,method,epsilon_gamma,epsilon_beta,epochs,epochs_gamma,epochs_beta,delta,n_fit,mean_degree,lcc_size,lcc_frac,n_components,n_isolated,beta_true_00,beta_true_01,beta_true_11,beta_est_00,beta_est_01,beta_est_11,nmi
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,2.0,11.728684954707337,1,sbm_dpsgd_all_noised,11.245049229064149,2.668102829441137,10.999722287676306,5.999848520550712,4.999873767125593,1e-05,488,3.6,488,0.976,13,12,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.12242405116558075,0.006502347998321056,0.1063823252916336,0.005824905721752282
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,5.0,4.1484505404580005,1,edge_flip_vem,,,330,,,1e-05,488,3.6,488,0.976,13,12,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.0,0.0,0.006739999167621136,0.0
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,5.0,4.1484505404580005,1,edge_flip_spectral,,,,,,1e-05,488,3.6,488,0.976,13,12,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.015438414178788662,0.0,0.016262831166386604,0.031691066508162384
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,5.0,4.1484505404580005,1,sbm_dpsgd_all_noised,3.992894984902444,1.0338953100711687,10.999722287676306,5.999848520550712,4.999873767125593,1e-05,488,3.6,488,0.976,13,12,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.12089956551790237,0.006489607971161604,0.107528917491436,0.010925629508653112
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,10.0,1.9945956405993723,1,edge_flip_vem,,,286,,,1e-05,488,3.6,488,0.976,13,12,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.005752212833613157,0.0,0.0,0.0
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,10.0,1.9945956405993723,1,edge_flip_spectral,,,,,,1e-05,488,3.6,488,0.976,13,12,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.03283277899026871,0.0,0.029418041929602623,0.003439618473656821
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,10.0,1.9945956405993723,1,sbm_dpsgd_all_noised,1.9223734183771504,0.5431122541136532,10.999722287676306,5.999848520550712,4.999873767125593,1e-05,488,3.6,488,0.976,13,12,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.11432834714651108,0.006562167312949896,0.11339769512414932,0.013177248086790766
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,20.0,0.977390412892278,1,edge_flip_vem,,,350,,,1e-05,488,3.6,488,0.976,13,12,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.10517428815364838,0.038065675646066666,0.0,0.004357016999914602
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,20.0,0.977390412892278,1,edge_flip_spectral,,,,,,1e-05,488,3.6,488,0.976,13,12,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.0428045429289341,0.0,0.08986763656139374,0.0007535651246088445
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,20.0,0.977390412892278,1,sbm_dpsgd_all_noised,0.9419985000802904,0.40561225411365304,10.999722287676306,5.999848520550712,4.999873767125593,1e-05,488,3.6,488,0.976,13,12,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.11769000440835953,0.006608357187360525,0.11057969182729721,0.0030606370494572353
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,27.43885139089614,2,edge_flip_vem,,,144,,,1e-05,479,3.264,479,0.958,21,19,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.0,0.0,0.007119085174053907,0.0
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,27.43885139089614,2,edge_flip_spectral,,,,,,1e-05,479,3.264,479,0.958,21,19,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.0072040860541164875,0.0005263157654553652,0.5,0.015198487799475151
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,27.43885139089614,2,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,10.999903914186634,5.999947589556346,4.999956324630288,1e-05,479,3.264,479,0.958,21,19,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.11813916265964508,0.006236308719962835,0.11075855791568756,0.0009270097955455833
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,2.0,11.728684954707337,2,edge_flip_vem,,,151,,,1e-05,479,3.264,479,0.958,21,19,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.0,0.0,0.007119875866919756,0.0
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,2.0,11.728684954707337,2,edge_flip_spectral,,,,,,1e-05,479,3.264,479,0.958,21,19,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.007205026224255562,0.0005182648892514408,0.5,0.015198487799475151
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,2.0,11.728684954707337,2,sbm_dpsgd_all_noised,11.245049229064149,2.668102829441137,10.999903914186634,5.999947589556346,4.999956324630288,1e-05,479,3.264,479,0.958,21,19,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.11643581092357635,0.006239657755941153,0.11204163730144501,0.0016819252512513825
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,5.0,4.1484505404580005,2,edge_flip_vem,,,229,,,1e-05,479,3.264,479,0.958,21,19,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.007541961036622524,0.0,0.0,0.0
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,5.0,4.1484505404580005,2,edge_flip_spectral,,,,,,1e-05,479,3.264,479,0.958,21,19,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.014793909154832363,0.0,0.01871519908308983,0.007553165492522614
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,5.0,4.1484505404580005,2,sbm_dpsgd_all_noised,3.992894984902444,1.0338953100711687,10.999903914186634,5.999947589556346,4.999956324630288,1e-05,479,3.264,479,0.958,21,19,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.1153738722205162,0.006522606126964092,0.11243699491024017,0.0005224915262707132
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,10.0,1.9945956405993723,2,edge_flip_vem,,,580,,,1e-05,479,3.264,479,0.958,21,19,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.0,0.003610652405768633,0.035157449543476105,0.003638537567376661
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,10.0,1.9945956405993723,2,edge_flip_spectral,,,,,,1e-05,479,3.264,479,0.958,21,19,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.04885908588767052,0.0,0.022407684475183487,0.00011491233500641749
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,10.0,1.9945956405993723,2,sbm_dpsgd_all_noised,1.9223734183771504,0.5431122541136532,10.999903914186634,5.999947589556346,4.999956324630288,1e-05,479,3.264,479,0.958,21,19,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.11303118616342545,0.006553459446877241,0.11491207033395767,0.0007101847994740908
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,20.0,0.977390412892278,2,edge_flip_vem,,,414,,,1e-05,479,3.264,479,0.958,21,19,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.0,0.0,0.006279089022427797,0.0
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,20.0,0.977390412892278,2,edge_flip_spectral,,,,,,1e-05,479,3.264,479,0.958,21,19,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.06409139186143875,0.0,0.07026597857475281,0.0021875573086364624
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,20.0,0.977390412892278,2,sbm_dpsgd_all_noised,0.9419985000802904,0.40561225411365304,10.999903914186634,5.999947589556346,4.999956324630288,1e-05,479,3.264,479,0.958,21,19,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.11238230019807816,0.006563394796103239,0.11651279032230377,0.0005152352517557258
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,27.43885139089614,3,edge_flip_vem,,,157,,,1e-05,481,3.392,481,0.962,17,13,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.007319819647818804,0.0,0.0,0.0
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,27.43885139089614,3,edge_flip_spectral,,,,,,1e-05,481,3.392,481,0.962,17,13,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.0074439262971282005,0.0007017544121481478,0.3333333432674408,0.007824972097478728
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,27.43885139089614,3,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,11.0,6.0,5.0,1e-05,481,3.392,481,0.962,17,13,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.12085851281881332,0.006777547765523195,0.10822214186191559,0.013165004306131807
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,2.0,11.728684954707337,3,edge_flip_vem,,,157,,,1e-05,481,3.392,481,0.962,17,13,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.007311878260225058,0.0,0.0,0.0
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,2.0,11.728684954707337,3,edge_flip_spectral,,,,,,1e-05,481,3.392,481,0.962,17,13,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.007435986772179604,0.0006937063299119473,0.3333306610584259,0.007824972097478728
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,2.0,11.728684954707337,3,sbm_dpsgd_all_noised,11.245049229064149,2.668102829441137,11.0,6.0,5.0,1e-05,481,3.392,481,0.962,17,13,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.11875741183757782,0.00677976431325078,0.10974535346031189,0.011603963917555844
