regime,N,p,q,sigma,epsilon,rep,method,epsilon_gamma,epsilon_beta,epsilon_rho,epochs,epochs_gamma,epochs_beta,delta,n_fit,mean_degree,lcc_size,lcc_frac,n_components,n_isolated,beta_true_00,beta_true_01,beta_true_11,beta_est_00,beta_est_01,beta_est_11,nmi
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,27.449962502007253,2,edge_flip_vem,,,,403,,,1e-05,483,3.54,483,0.966,18,17,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.007602897007018328,0.0,0.0,0.0
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,27.449962502007253,2,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,0.5431122541136532,10.999716502152006,5.999845364810185,4.999871137341821,1e-05,483,3.54,483,0.966,18,17,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.13247369229793549,0.006383420899510384,0.10215811431407928,2.8890833479261103e-05
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,inf,3,spectral,,,,,,,1e-05,475,3.36,475,0.95,24,21,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.012725200781419579,0.0011771950159374094,0.014827098473394137,0.5579741112079813
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,27.449962502007253,3,edge_flip_vem,,,,431,,,1e-05,475,3.36,475,0.95,24,21,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.0073683555237948895,0.025316456332802773,0.0,0.00399227337676485
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,27.449962502007253,3,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,0.5431122541136532,11.0,6.0,5.0,1e-05,475,3.36,475,0.95,24,21,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.11564014106988907,0.006361604668200016,0.11346569657325745,0.0007222256585874475
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,inf,4,spectral,,,,,,,1e-05,483,3.492,483,0.966,17,15,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.014072090897218231,0.001115305422100206,0.013675213675213675,0.6258541818203225
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,27.449962502007253,4,edge_flip_vem,,,,206,,,1e-05,483,3.492,483,0.966,17,15,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.007491216063499451,0.0,0.0,0.0
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,27.449962502007253,4,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,0.5431122541136532,10.999716502152006,5.999845364810185,4.999871137341821,1e-05,483,3.492,483,0.966,17,15,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.1194152757525444,0.0063002221286296844,0.10975468158721924,0.0019257684328218743
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,inf,5,spectral,,,,,,,1e-05,477,3.312,477,0.954,23,21,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.01293222683264177,0.0012659118081440326,0.013739632167327804,0.737027659774806
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,27.449962502007253,5,edge_flip_vem,,,,231,,,1e-05,477,3.312,477,0.954,23,21,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.007209199480712414,0.02521008439362049,0.0,0.0039291846037809094
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,27.449962502007253,5,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,0.5431122541136532,10.999903105896447,5.999947148670789,4.999955957225658,1e-05,477,3.312,477,0.954,23,21,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.10753550380468369,0.006504534278064966,0.1207590326666832,0.0006996029833093838
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,inf,6,spectral,,,,,,,1e-05,480,3.328,480,0.96,21,20,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.0125016193807488,0.0010779046923625236,0.01445511010728402,0.6263790050818999
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,27.449962502007253,6,edge_flip_vem,,,,141,,,1e-05,480,3.328,480,0.96,21,20,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.007237299811094999,0.0,0.0,0.0
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,27.449962502007253,6,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,0.5431122541136532,11.0,6.0,5.0,1e-05,480,3.328,480,0.96,21,20,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.13400167226791382,0.0066767181269824505,0.09925931692123413,0.00031317411103593006
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,inf,7,spectral,,,,,,,1e-05,488,3.692,488,0.976,13,12,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.014153582831374873,0.0012431333680514725,0.014488243430152144,0.6207484415423347
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,27.449962502007253,7,edge_flip_vem,,,,263,,,1e-05,488,3.692,488,0.976,13,12,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.00776752969250083,0.0,0.0,0.0
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,27.449962502007253,7,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,0.5431122541136532,10.999722287676306,5.999848520550712,4.999873767125593,1e-05,488,3.692,488,0.976,13,12,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.11396527290344238,0.0062226103618741035,0.11551984399557114,0.0009816538264108318
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,inf,8,spectral,,,,,,,1e-05,482,3.52,482,0.964,19,18,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.013457556935817806,0.001156428534442584,0.014709262238565847,0.6538715202469884
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,27.449962502007253,8,edge_flip_vem,,,,197,,,1e-05,482,3.52,482,0.964,19,18,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.0075913770124316216,0.0,0.0,0.0
