N,sigma,epsilon,rep,method,epsilon_gamma,epsilon_beta,epsilon_rho,epochs,epochs_gamma,epochs_beta,delta,beta_true_00,beta_true_01,beta_true_11,beta_est_00,beta_est_01,beta_est_11,nmi
100,1.0,27.449962502007253,7,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,0.5431122541136532,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.1889834702014923,0.10000479221343994,0.19295883178710938,0.29875197511813195
100,1.0,27.449962502007253,8,edge_flip_vem,,,,313,,,1e-05,0.2,0.02,0.2,0.10626262426376343,0.0,0.0,0.0
100,1.0,27.449962502007253,8,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,0.5431122541136532,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.17708219587802887,0.11489459127187729,0.1857028603553772,0.15944314871033458
100,1.0,27.449962502007253,9,edge_flip_vem,,,,510,,,1e-05,0.2,0.02,0.2,0.20000000298023224,0.018400000408291817,0.20979592204093933,1.0
100,1.0,27.449962502007253,9,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,0.5431122541136532,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.2456333488225937,0.05480773746967316,0.19789302349090576,0.5333833942150725
100,1.0,27.449962502007253,10,edge_flip_vem,,,,174,,,1e-05,0.2,0.02,0.2,0.1951020359992981,0.01759999990463257,0.20000000298023224,1.0
100,1.0,27.449962502007253,10,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,0.5431122541136532,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.19526703655719757,0.08348721265792847,0.16861717402935028,0.44632888749472316
100,1.0,27.449962502007253,11,edge_flip_vem,,,,274,,,1e-05,0.2,0.02,0.2,0.0,0.0,0.11252525448799133,0.0
100,1.0,27.449962502007253,11,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,0.5431122541136532,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.17002663016319275,0.1038111075758934,0.20191766321659088,0.20550722361410448
100,1.0,27.449962502007253,12,edge_flip_vem,,,,197,,,1e-05,0.2,0.02,0.2,0.18448980152606964,0.018799999728798866,0.19755102694034576,1.0
100,1.0,27.449962502007253,12,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,0.5431122541136532,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.19490818679332733,0.07885709404945374,0.19703960418701172,0.41576118835714454
100,1.0,27.449962502007253,13,edge_flip_vem,,,,601,,,1e-05,0.2,0.02,0.2,0.21877551078796387,0.02319999970495701,0.1893877536058426,1.0
100,1.0,27.449962502007253,13,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,0.5431122541136532,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.22658289968967438,0.04747823625802994,0.21219681203365326,0.9291252238549075
100,1.0,27.449962502007253,14,edge_flip_vem,,,,584,,,1e-05,0.2,0.02,0.2,0.20816326141357422,0.02199999988079071,0.17877550423145294,1.0
100,1.0,27.449962502007253,14,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,0.5431122541136532,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.21364296972751617,0.060007382184267044,0.21083353459835052,0.5697389043881019
100,1.0,27.449962502007253,15,edge_flip_vem,,,,242,,,1e-05,0.2,0.02,0.2,0.19183672964572906,0.01759999990463257,0.19428572058677673,1.0
100,1.0,27.449962502007253,15,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,0.5431122541136532,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.18498268723487854,0.12130508571863174,0.16566208004951477,0.002634255440327391
100,1.0,27.449962502007253,16,edge_flip_vem,,,,713,,,1e-05,0.2,0.02,0.2,0.19265305995941162,0.021199999377131462,0.19346939027309418,1.0
100,1.0,27.449962502007253,16,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,0.5431122541136532,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.16262216866016388,0.13221175968647003,0.18112897872924805,0.007325622571955387
100,1.0,27.449962502007253,17,edge_flip_vem,,,,279,,,1e-05,0.2,0.02,0.2,0.19755102694034576,0.024399999529123306,0.18857142329216003,1.0
100,1.0,27.449962502007253,17,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,0.5431122541136532,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.1883469969034195,0.10956691950559616,0.18445579707622528,0.175053748528183
100,1.0,27.449962502007253,18,edge_flip_vem,,,,286,,,1e-05,0.2,0.02,0.2,0.20326530933380127,0.019999999552965164,0.18775510787963867,1.0
100,1.0,27.449962502007253,18,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,0.5431122541136532,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.20008769631385803,0.04968595132231712,0.21886403858661652,0.6009721799981695
100,1.0,27.449962502007253,19,edge_flip_vem,,,,222,,,1e-05,0.2,0.02,0.2,0.18448980152606964,0.015200000256299973,0.19265305995941162,1.0
100,1.0,27.449962502007253,19,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,0.5431122541136532,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.2017716020345688,0.05389324203133583,0.18057045340538025,0.5642054529253091
100,2.0,11.732851621374003,0,edge_flip_vem,,,,279,,,1e-05,0.2,0.02,0.2,0.20326054096221924,0.01719225011765957,0.21795465052127838,1.0
100,2.0,11.732851621374003,0,sbm_dpsgd_all_noised,11.245049229064149,2.668102829441137,0.40561225411365304,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.1835007667541504,0.09255490452051163,0.18805673718452454,0.2780719051126382
100,2.0,11.732851621374003,1,edge_flip_vem,,,,222,,,1e-05,0.2,0.02,0.2,0.20081152021884918,0.02639239840209484,0.19428080320358276,1.0
