N,sigma,epsilon,rep,method,epsilon_gamma,epsilon_beta,epsilon_rho,epochs,epochs_gamma,epochs_beta,delta,beta_true_00,beta_true_01,beta_true_11,beta_est_00,beta_est_01,beta_est_11,nmi
1222,0.5,75.2608932193835,3,edge_flip_vem,,,,273,,,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.0021076255943626165,0.022182203829288483,0.15927202999591827,0.000435334001183433
1222,0.5,75.2608932193835,3,sbm_dpsgd_all_noised,70.77201703309784,12.423110533899475,1.033893800850985,10.999985255304406,5.999991957438766,4.999993297865639,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.14963681995868683,0.009340531192719936,0.10363601893186569,0.13765731732445977
1222,0.5,75.2608932193835,4,edge_flip_vem,,,,283,,,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.15927202999591827,0.022182203829288483,0.0021076255943626165,0.000435334001183433
1222,0.5,75.2608932193835,4,sbm_dpsgd_all_noised,70.77201703309784,12.423110533899475,1.033893800850985,10.999985255304406,5.999991957438766,4.999993297865639,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.11465248465538025,0.006922618951648474,0.1369638890028,0.2091180442194891
1222,0.5,75.2608932193835,5,edge_flip_vem,,,,313,,,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.0021076255943626165,0.022182203829288483,0.15927202999591827,0.000435334001183433
1222,0.5,75.2608932193835,5,sbm_dpsgd_all_noised,70.77201703309784,12.423110533899475,1.033893800850985,10.999985255304406,5.999991957438766,4.999993297865639,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.12249954044818878,0.005367199890315533,0.13021939992904663,0.3115937731514208
1222,0.5,75.2608932193835,6,edge_flip_vem,,,,285,,,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.15927202999591827,0.022182203829288483,0.0021076255943626165,0.000435334001183433
1222,0.5,75.2608932193835,6,sbm_dpsgd_all_noised,70.77201703309784,12.423110533899475,1.033893800850985,10.999985255304406,5.999991957438766,4.999993297865639,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.12097196280956268,0.005364354699850082,0.13097041845321655,0.3430652080084787
1222,0.5,75.2608932193835,7,edge_flip_vem,,,,304,,,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.15927202999591827,0.022182203829288483,0.0021076255943626165,0.000435334001183433
1222,0.5,75.2608932193835,7,sbm_dpsgd_all_noised,70.77201703309784,12.423110533899475,1.033893800850985,10.999985255304406,5.999991957438766,4.999993297865639,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.10990346223115921,0.009966502897441387,0.1435355842113495,0.12032513392400646
1222,0.5,75.2608932193835,8,edge_flip_vem,,,,315,,,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.15927202999591827,0.022182203829288483,0.0021076255943626165,0.000435334001183433
1222,0.5,75.2608932193835,8,sbm_dpsgd_all_noised,70.77201703309784,12.423110533899475,1.033893800850985,10.999985255304406,5.999991957438766,4.999993297865639,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.1587868332862854,0.008917700499296188,0.0962880328297615,6.206291631742027e-05
1222,0.5,75.2608932193835,9,edge_flip_vem,,,,269,,,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.0020514102652668953,0.021793663501739502,0.15726323425769806,0.00021362734387380577
1222,0.5,75.2608932193835,9,sbm_dpsgd_all_noised,70.77201703309784,12.423110533899475,1.033893800850985,10.999985255304406,5.999991957438766,4.999993297865639,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.12713946402072906,0.005575789138674736,0.12432191520929337,0.27390749453323493
1222,0.5,75.2608932193835,10,edge_flip_vem,,,,259,,,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.15927202999591827,0.022182203829288483,0.0021076255943626165,0.000435334001183433
1222,0.5,75.2608932193835,10,sbm_dpsgd_all_noised,70.77201703309784,12.423110533899475,1.033893800850985,10.999985255304406,5.999991957438766,4.999993297865639,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.15400955080986023,0.008251544088125229,0.09683811664581299,0.014672797854912045
1222,0.5,75.2608932193835,11,edge_flip_vem,,,,288,,,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.0021076255943626165,0.022182203829288483,0.15927202999591827,0.000435334001183433
1222,0.5,75.2608932193835,11,sbm_dpsgd_all_noised,70.77201703309784,12.423110533899475,1.033893800850985,10.999985255304406,5.999991957438766,4.999993297865639,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.10691110789775848,0.00935044139623642,0.14839209616184235,0.17214981953634392
1222,0.5,75.2608932193835,12,edge_flip_vem,,,,281,,,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.15927202999591827,0.022182203829288483,0.0021076255943626165,0.000435334001183433
1222,0.5,75.2608932193835,12,sbm_dpsgd_all_noised,70.77201703309784,12.423110533899475,1.033893800850985,10.999985255304406,5.999991957438766,4.999993297865639,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.10261678695678711,0.010324288159608841,0.15007807314395905,0.10785666724832514
1222,0.5,75.2608932193835,13,edge_flip_vem,,,,245,,,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.0021076255943626165,0.022182203829288483,0.15927202999591827,0.000435334001183433
1222,0.5,75.2608932193835,13,sbm_dpsgd_all_noised,70.77201703309784,12.423110533899475,1.033893800850985,10.999985255304406,5.999991957438766,4.999993297865639,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.09641176462173462,0.012379624880850315,0.15385782718658447,0.007996750171706575
1222,0.5,75.2608932193835,14,edge_flip_vem,,,,311,,,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.0021076255943626165,0.022182203829288483,0.15927202999591827,0.000435334001183433
