N,K,dc_sigma,normalize_weights,sigma,epsilon,rep,method,epsilon_gamma,epsilon_beta,epsilon_rho,epochs,epochs_gamma,epochs_beta,delta,mean_degree,degree_cv,max_degree,min_degree,weight_mean,weight_cv,lcc_size,lcc_frac,n_components,n_isolated,beta_nominal_00,beta_nominal_01,beta_nominal_11,beta_true_00,beta_true_01,beta_true_11,beta_est_00,beta_est_01,beta_est_11,nmi
500,2,0.25,True,1.0,27.449962502007253,8,edge_flip_vem,,,,257,,,1e-05,54.956,0.23201203657710764,104,29,1.0,0.19037711277843733,500,1.0,1,0,0.2,0.02,0.2,0.20324497991967871,0.020384,0.19723694779116466,0.19723695516586304,0.02038400061428547,0.20324498414993286,1.0
500,2,0.25,True,1.0,27.449962502007253,8,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,0.5431122541136532,11.0,6.0,5.0,1e-05,54.956,0.23201203657710764,104,29,1.0,0.19037711277843733,500,1.0,1,0,0.2,0.02,0.2,0.20324497991967871,0.020384,0.19723694779116466,0.16194766759872437,0.07347755134105682,0.2038985788822174,0.4437187232890822
500,2,0.25,True,1.0,27.449962502007253,9,edge_flip_vem,,,,212,,,1e-05,55.076,0.22560436981011217,108,31,1.0,0.19729482192183767,500,1.0,1,0,0.2,0.02,0.2,0.19749397590361445,0.019536,0.20565461847389557,0.19749397039413452,0.01953599974513054,0.20565462112426758,1.0
500,2,0.25,True,1.0,27.449962502007253,9,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,0.5431122541136532,11.0,6.0,5.0,1e-05,55.076,0.22560436981011217,108,31,1.0,0.19729482192183767,500,1.0,1,0,0.2,0.02,0.2,0.19749397590361445,0.019536,0.20565461847389557,0.2203454226255417,0.011884409934282303,0.21996061503887177,1.0
500,2,0.25,True,1.0,27.449962502007253,10,edge_flip_vem,,,,396,,,1e-05,55.156,0.21419329176377871,120,28,0.9999999999999998,0.18243706516840116,500,1.0,1,0,0.2,0.02,0.2,0.20250602409638555,0.020528,0.19929317269076305,0.19929316639900208,0.020527999848127365,0.20250602066516876,1.0
500,2,0.25,True,1.0,27.449962502007253,10,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,0.5431122541136532,11.0,6.0,5.0,1e-05,55.156,0.21419329176377871,120,28,0.9999999999999998,0.18243706516840116,500,1.0,1,0,0.2,0.02,0.2,0.20250602409638555,0.020528,0.19929317269076305,0.21409568190574646,0.012143814004957676,0.23134419322013855,1.0
500,2,0.25,True,1.0,27.449962502007253,11,edge_flip_vem,,,,191,,,1e-05,54.956,0.22164504515556593,96,30,1.0,0.18196196362354547,500,1.0,1,0,0.2,0.02,0.2,0.20266666666666666,0.020368,0.19784738955823294,0.20266667008399963,0.020368000492453575,0.1978473961353302,1.0
500,2,0.25,True,1.0,27.449962502007253,11,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,0.5431122541136532,11.0,6.0,5.0,1e-05,54.956,0.22164504515556593,96,30,1.0,0.18196196362354547,500,1.0,1,0,0.2,0.02,0.2,0.20266666666666666,0.020368,0.19784738955823294,0.18065209686756134,0.04019622877240181,0.21070587635040283,0.6681173917079676
500,2,0.25,True,1.0,27.449962502007253,12,edge_flip_vem,,,,270,,,1e-05,55.4,0.2263108913222625,95,29,1.0,0.18584632291097594,500,1.0,1,0,0.2,0.02,0.2,0.20584738955823292,0.020464,0.19804016064257027,0.1980401575565338,0.02046399936079979,0.2058473825454712,1.0
500,2,0.25,True,1.0,27.449962502007253,12,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,0.5431122541136532,11.0,6.0,5.0,1e-05,55.4,0.2263108913222625,95,29,1.0,0.18584632291097594,500,1.0,1,0,0.2,0.02,0.2,0.20584738955823292,0.020464,0.19804016064257027,0.2110529989004135,0.01119615975767374,0.22508694231510162,1.0
500,2,0.25,True,1.0,27.449962502007253,13,edge_flip_vem,,,,196,,,1e-05,54.864,0.22456643649322008,108,30,1.0,0.19408397750982131,500,1.0,1,0,0.2,0.02,0.2,0.20048192771084336,0.020288,0.19945381526104417,0.20048192143440247,0.020287999883294106,0.19945381581783295,1.0
500,2,0.25,True,1.0,27.449962502007253,13,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,0.5431122541136532,11.0,6.0,5.0,1e-05,54.864,0.22456643649322008,108,30,1.0,0.19408397750982131,500,1.0,1,0,0.2,0.02,0.2,0.20048192771084336,0.020288,0.19945381526104417,0.2254510372877121,0.011979912407696247,0.2125220149755478,1.0
500,2,0.25,True,1.0,27.449962502007253,14,edge_flip_vem,,,,347,,,1e-05,54.868,0.23397145075093514,110,30,1.0,0.19037241613624162,500,1.0,1,0,0.2,0.02,0.2,0.19784738955823294,0.01992,0.202859437751004,0.20285943150520325,0.019920000806450844,0.1978473961353302,1.0
500,2,0.25,True,1.0,27.449962502007253,14,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,0.5431122541136532,11.0,6.0,5.0,1e-05,54.868,0.23397145075093514,110,30,1.0,0.19037241613624162,500,1.0,1,0,0.2,0.02,0.2,0.19784738955823294,0.01992,0.202859437751004,0.1901288777589798,0.07367323338985443,0.17231282591819763,0.39319347226663215
500,2,0.25,True,1.0,27.449962502007253,15,edge_flip_vem,,,,452,,,1e-05,54.82,0.22384624142604936,98,32,1.0,0.1839386205673729,500,1.0,1,0,0.2,0.02,0.2,0.20118875502008032,0.019504,0.19996787148594378,0.1999678760766983,0.01950399950146675,0.20118875801563263,1.0
500,2,0.25,True,1.0,27.449962502007253,15,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,0.5431122541136532,11.0,6.0,5.0,1e-05,54.82,0.22384624142604936,98,32,1.0,0.1839386205673729,500,1.0,1,0,0.2,0.02,0.2,0.20118875502008032,0.019504,0.19996787148594378,0.20605911314487457,0.015123876743018627,0.2229890525341034,1.0
500,2,0.25,True,1.0,27.449962502007253,16,edge_flip_vem,,,,307,,,1e-05,54.664,0.2232529101875032,101,27,1.0,0.19005814653352548,500,1.0,1,0,0.2,0.02,0.2,0.20134939759036144,0.020496,0.19656224899598393,0.1965622454881668,0.020495999604463577,0.2013493925333023,1.0
500,2,0.25,True,1.0,27.449962502007253,16,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,0.5431122541136532,11.0,6.0,5.0,1e-05,54.664,0.2232529101875032,101,27,1.0,0.19005814653352548,500,1.0,1,0,0.2,0.02,0.2,0.20134939759036144,0.020496,0.19656224899598393,0.20914816856384277,0.029023056849837303,0.19646455347537994,0.8993572484755795
500,2,0.25,True,1.0,27.449962502007253,17,edge_flip_vem,,,,255,,,1e-05,55.288,0.23018646464620882,100,30,1.0,0.1911140276283385,500,1.0,1,0,0.2,0.02,0.2,0.20160642570281123,0.020432,0.20144578313253012,0.20160642266273499,0.020431999117136,0.2014457881450653,1.0
