regime,N,p,q,sigma,epsilon,rep,method,epsilon_gamma,epsilon_beta,epsilon_rho,epochs,epochs_gamma,epochs_beta,delta,mean_degree,lcc_size,lcc_frac,n_components,n_isolated,beta_true_00,beta_true_01,beta_true_11,beta_est_00,beta_est_01,beta_est_11,nmi
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,75.26107361311833,8,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,11.0,6.0,5.0,1e-05,3.46,473,0.946,28,27,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.10494927316904068,0.006016062572598457,0.12347187101840973,0.0037440114111329625
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,75.26107361311833,9,edge_flip_vem,,,,306,,,1e-05,3.316,485,0.97,16,15,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.006645290646702051,0.0,0.0,0.0
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,75.26107361311833,9,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,11.0,6.0,5.0,1e-05,3.316,485,0.97,16,15,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.0964270830154419,0.005948726553469896,0.13802967965602875,0.0019514462383348017
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,75.26107361311833,10,edge_flip_vem,,,,223,,,1e-05,3.684,490,0.98,11,10,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.0,0.0,0.0073827654123306274,0.0
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,75.26107361311833,10,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,11.0,6.0,5.0,1e-05,3.684,490,0.98,11,10,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.12513338029384613,0.006514078471809626,0.1040416806936264,0.0013977413467974277
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,75.26107361311833,11,edge_flip_vem,,,,337,,,1e-05,3.412,487,0.974,14,13,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.0068376753479242325,0.0,0.0,0.0
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,75.26107361311833,11,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,11.0,6.0,5.0,1e-05,3.412,487,0.974,14,13,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.10372183471918106,0.006068024784326553,0.1256047785282135,0.00166625489634169
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,75.26107361311833,12,edge_flip_vem,,,,839,,,1e-05,3.328,477,0.954,23,21,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.003874461865052581,0.008771929889917374,0.02142857201397419,0.001128672715942191
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,75.26107361311833,12,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,11.0,6.0,5.0,1e-05,3.328,477,0.954,23,21,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.09596765041351318,0.005874997936189175,0.1358598917722702,4.626742990890368e-05
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,75.26107361311833,13,edge_flip_vem,,,,567,,,1e-05,3.332,483,0.966,18,17,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.0,0.021084336563944817,0.0065614571794867516,0.0
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,75.26107361311833,13,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,11.0,6.0,5.0,1e-05,3.332,483,0.966,18,17,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.10125339031219482,0.005980979185551405,0.13492465019226074,0.023562847641261833
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,75.26107361311833,14,edge_flip_vem,,,,448,,,1e-05,3.288,478,0.956,22,20,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.006589178461581469,0.0,0.0,0.0
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,75.26107361311833,14,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,11.0,6.0,5.0,1e-05,3.288,478,0.956,22,20,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.09886205196380615,0.0061372751370072365,0.13600946962833405,0.020545347922703964
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,75.26107361311833,15,edge_flip_vem,,,,269,,,1e-05,3.204,483,0.966,17,15,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.006420841906219721,0.0,0.0,0.0
